Season,Player,Number,Position,College
1936,Ernie Caddel,1,WB,Stanford
1936,Ed Klewicki,10,LE,Michigan St.
1936,Harry Ebding,11,E,St. Mary's (CA)
1936,John Schneller,12,RE,Wisconsin
1936,Del Ritchhart,13,C,Colorado
1936,George Christensen,14,RT,Oregon
1936,Sid Wagner,15,G,Michigan St.
1936,Jack Johnson,16,LT,Utah
1936,Clare Randolph,17,C-G-LB-E,Indiana
1936,Joe Kopcha,18,RG,Chattanooga
1936,Regis Monahan,19,G-T,Ohio St.
1936,Frank Christensen,2,BB,Utah
1936,Ox Emerson,20,G-C,Texas
1936,Sam Knox,21,LG,"New Hampshire , Illinois"
1936,Tom Hupke,22,G-T,Alabama
1936,Jim Steen,23,T,Syracuse
1936,Red Stacy,25,RT,Oklahoma
1936,Butch Morse,27,E,Oregon
1936,Glenn Presnell,3,TB,Nebraska
1936,Wilbur White,30,B,Colorado St.
1936,Buddy Parker,4,BB,"North Texas , Centenary"
1936,Ike Petersen,40,B,Gonzaga
1936,Ace Gutowsky,5,FB,Oklahoma City
1936,Dutch Clark,7,TB,Colorado Col.
1936,Bill McKalip,8,E-WB,Oregon St.
1936,Bill Shepherd,9,FB,Western Maryland
1937,Charlie Payne,,WB,Detroit Mercy
1937,Ernie Caddel,1,WB,Stanford
1937,Ed Klewicki,10,LE,Michigan St.
1937,Harry Ebding,11,RE,St. Mary's (CA)
1937,Chuck Hanneman,12,E,Eastern Michigan
1937,Del Ritchhart,13,C,Colorado
1937,Bill Feldhaus,14,RG,Cincinnati
1937,Ralph Isselhardt,15,G,Franklin (IN)
1937,Sid Wagner,15,RG,Michigan St.
1937,Jack Johnson,16,LT,Utah
1937,Dixie Stokes,17,C,Centenary
1937,Hal Cooper,18,G,Detroit Mercy
1937,Regis Monahan,19,G-T,Ohio St.
1937,Frank Christensen,2,RT,Utah
1937,Ox Emerson,20,LG,Texas
1937,Tom Fena,21,G,Denver
1937,Tom Hupke,22,G-T,Alabama
1937,Lee Kizzire,23,FB,Wyoming
1937,Bob Reynolds,24,RT,Stanford
1937,Red Stacy,25,T-G,Oklahoma
1937,George Christensen,26,T-G,Oregon
1937,Butch Morse,27,RE,Oregon
1937,Lloyd Cardwell,3,WB-DB-FB,Nebraska
1937,Ray Reckmack,4,E-HB,Syracuse
